1,*,KAWASHIMA,GK
16,20,2018-47,16
16,21,2018-47,3
16,22,2018-16,2
16,22,2018-47,10
16,22,2018-54,1
16,3,2018-16,2
16,4,2018-16,2
16,5,2018-47,10
16,5,2018-54,1
16,7,2018-47,8
16,8,2018-16,2
16,9,2018-47,2
17,10,2018-16,6
17,10,2018-32,6
17,10,2018-54,5
17,1,2018-16,1
17,1,2018-32,2
17,1,2018-47,1
17,1,2018-54,3
17,14,2018-16,8
17,14,2018-47,1
17,14,2018-54,3
17,15,2018-16,1
17,15,2018-32,3
17,15,2018-54,1
17,16,2018-16,2
17,16,2018-47,2
17,16,2018-54,2
17,19,2018-16,2
17,19,2018-32,5
17,19,2018-54,5
17,20,2018-47,1
17,22,2018-16,21
17,22,2018-32,22
17,22,2018-47,10
17,22,2018-54,9
17,3,2018-16,10
17,3,2018-32,13
17,3,2018-54,5
17,4,2018-16,2
17,4,2018-32,1
17,5,2018-16,5
17,5,2018-32,1
17,5,2018-54,8
17,7,2018-16,7
17,7,2018-32,4
17,7,2018-54,7
17,8,2018-16,3
17,8,2018-32,3
17,8,2018-54,1
19,10,2018-16,2
19,10,2018-32,4
19,10,2018-54,6
19,11,2018-47,1
19,1,2018-16,1
19,1,2018-47,1
19,1,2018-54,1
19,13,2018-47,1
19,15,2018-16,2
19,15,2018-32,4
19,15,2018-47,2
19,15,2018-54,1
19,16,2018-16,1
19,16,2018-47,3
19,17,2018-16,2
19,17,2018-32,2
19,17,2018-54,3
19,20,2018-47,1
19,21,2018-47,5
19,22,2018-16,4
19,22,2018-32,4
19,22,2018-47,5
19,22,2018-54,7
19,3,2018-54,1
19,4,2018-16,8
19,4,2018-32,2
19,7,2018-16,6
19,7,2018-32,2
19,7,2018-47,9
19,7,2018-54,1
19,8,2018-16,6
19,8,2018-32,9
19,8,2018-54,7
19,9,2018-47,2
20,11,2018-47,5
20,14,2018-47,10
20,15,2018-47,1
20,16,2018-47,21
20,17,2018-47,1
20,22,2018-47,24
20,5,2018-47,8
20,7,2018-47,6
20,9,2018-47,1
21,11,2018-47,1
21,19,2018-47,7
21,5,2018-47,1
21,7,2018-47,1
21,9,2018-47,4
22,10,2018-16,6
22,10,2018-32,2
22,10,2018-54,3
22,1,2018-16,3
22,1,2018-32,1
22,1,2018-47,4
22,1,2018-54,6
22,13,2018-47,2
22,14,2018-16,1
22,14,2018-32,2
22,14,2018-47,4
22,14,2018-54,2
22,15,2018-32,3
22,15,2018-47,1
22,15,2018-54,3
22,16,2018-16,2
22,16,2018-47,14
22,17,2018-16,14
22,17,2018-32,13
22,17,2018-47,7
22,17,2018-54,4
22,19,2018-16,11
22,19,2018-32,5
22,19,2018-47,8
22,19,2018-54,7
22,20,2018-47,14
22,21,2018-47,2
22,3,2018-16,24
22,3,2018-32,15
22,3,2018-54,6
22,4,2018-16,1
22,4,2018-54,1
22,5,2018-16,1
22,5,2018-47,2
22,5,2018-54,4
22,7,2018-16,18
22,7,2018-32,10
22,7,2018-47,19
22,7,2018-54,4
22,8,2018-16,3
22,8,2018-32,1
22,8,2018-54,2
22,9,2018-16,1
